,Record ID,Company name,Index,Website URL,State/Region,City,Country/Region,Industry,Description,Phone Number,inv_inds
0,9060228527,Kairos Infiniti Ventures,285668101,kairosinfiniti.com,CA,Cupertino,United States,,Funding EdTech solutions to bridge the divide in education & make high-quality education affordable & accessible to students at the bottom-of-the-pyramid.,,
1,9060201771,Cosmic Venture Partners,285712361,cosmicvp.com,,Alexandra Tynion,,,,,;Family;Health;Arts and Entertainment;Home and Garden;Education;Social Media;Manufacturing;News;E-Commerce;Mental Health
2,9060037165,Long View Technology Ventures,285584790,longviewtechventures.com,Texas,Austin,United States,Venture Capital,Long View Technology Ventures is an alternative investment management company., +1 512 373 3954,
3,9059195045,Katalyst.Ventures Management LLC,285164085,,,,,,,,
4,9060069182,Presidio Venture Inc,285161806,,,,,,,,
5,9060209828,Toyota Ventures,284688253,https://toyota.ventures/,California,Los Altos,United States,Venture Capital,Toyota Ventures is an early-stage venture capital firm that invests in startups from around the world.,,;Industrial Engineering and Automation;Transportation;Agriculture and Farming;Location Based Services;Government and Military;Supply Chain;Aerospace;Construction;Information Technology;Boating and Marine;Automotive;Delivery Services;Arts and Entertainment;Health;Software;Design;Energy;E-Commerce;Hardware;Recreation and Leisure;Extended Reality;3D Printing;Sustainablility;Travel and Tourism;Home and Garden;DeepTech;Manufacturing;AgTech
6,9060176556,Midway VC,284688256,,,,,,,,
7,9060176547,Pillar VC,284688278,pillar.vc,Massachusetts,Boston,United States,Venture Capital,"Pillar VC invests in seed-stage companies in Boston, supporting unstoppable founders with capital, connections, coaching, and peer support.", +1 800-273-8255,;Industrial Engineering and Automation;Crowdfunding;Agriculture and Farming;Government and Military;Women's Products;Supply Chain;Biotechnology;IoT;Construction;Information Technology;Pharmaceuticals;Automotive;Enterprise Software;Real Estate;Human Resources;Health;Arts and Entertainment;Crypto;Multimedia and Graphics Software;Consulting;Software;Social Media;E-Commerce;3D Printing;Sustainablility;FinTech;Home and Garden;Life Sciences;DeepTech;Business Development;AgTech;Consumer Durables
8,9060176541,Kombo Ventures,284688270,www.komboventures.com,CA,Los Angeles,United States,,,,;Arts and Entertainment;Software;Social Media;E-Commerce
9,9060037266,SkyLab Ventures,284688295,2point0ventures.com,,Salt Lake City,,,,,;Marketing;Enterprise Software;Commerce;Arts and Entertainment;Health;Home and Garden;Telecommunications;Productivity Tools;Software;Information Technology;E-Commerce;Clothing and Apparel;Cybersecurity;Software Development;Consumer Durables
10,9060028742,The Cavalcade Group,284355516,cavalcadegroup.com,Texas,Austin,United States,,"The Cavalcade Group is a family office and investment firm focused on   advising, structuring, and managing assets for HNW individuals,   institutions, and funds",,
11,9060176496,Sidespin Ventures,283756688,sidespin.vc,,Santa Monica,,,"Sidespin Ventures is a pre-seed and seed stage fund providing capital, mentorship, and hands-on assistance to entrepreneurs.",,
12,9060165816,Sacks Ventures,283827007,,,San Francisco,,,An Investment Firm.,,
13,9060218218,River VC,283592054,river-vc.com,,,,,,,
14,9060201862,SC Ventures,283592093,scventures.io,Central Region,Singapore,Singapore,Venture Capital,"SC Ventures promotes innovation, invests in disruptive financial technology, and explores alternative business models.",,;FinTech;Software;IoT;Information Technology;Cybersecurity
